uf;br_formatada;municipio;mes;trimestre;dia_semana;dia_semana_num;fim_de_semana;hora;faixa_horaria;turno;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
SP;BR-116;GUARULHOS;1;1;QUARTA-FEIRA;2;0;6;06H-08H;MANHÃ;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;TOMBAMENTO;CÉU CLARO;MÚLTIPLA;"RETA;DECLIVE";SIM;0
CE;BR-116;PENAFORTE;1;1;QUARTA-FEIRA;2;0;7;06H-08H;MANHÃ;PLENO DIA;PISTA ESBURACADA;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;1
PR;BR-369;CORNELIO PROCOPIO;1;1;QUARTA-FEIRA;2;0;8;06H-08H;MANHÃ;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;SOL;DUPLA;"RETA;ACLIVE";SIM;0
PR;BR-116;CAMPINA GRANDE DO SUL;1;1;QUARTA-FEIRA;2;0;11;09H-11H;MANHÃ;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;DUPLA;RETA;NÃO;0
MG;BR-251;FRANCISCO SA;1;1;QUARTA-FEIRA;2;0;9;09H-11H;MANHÃ;PLENO DIA;VELOCIDADE INCOMPATÍVEL;COLISÃO FRONTAL;CHUVA;SIMPLES;"CURVA;DECLIVE";NÃO;0
MT;BR-070;CACERES;1;1;QUARTA-FEIRA;2;0;10;09H-11H;MANHÃ;PLENO DIA;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;1
RS;BR-116;TAPES;1;1;QUARTA-FEIRA;2;0;12;12H-14H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;DUPLA;RETA;NÃO;0
SC;BR-101;SAO JOSE;1;1;QUARTA-FEIRA;2;0;17;15H-17H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;NUBLADO;DUPLA;RETA;SIM;0
MG;BR-116;MURIAE;1;1;QUARTA-FEIRA;2;0;18;18H-20H;NOITE;ANOITECER;VELOCIDADE INCOMPATÍVEL;TOMBAMENTO;NUBLADO;SIMPLES;CURVA;NÃO;1
PE;BR-407;AFRANIO;1;1;QUARTA-FEIRA;2;0;17;15H-17H;TARDE;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;CÉU CLARO;SIMPLES;"ACLIVE;CURVA";NÃO;0
SC;BR-101;CAPIVARI DE BAIXO;1;1;QUARTA-FEIRA;2;0;20;18H-20H;NOITE;PLENO DIA;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO COM OBJETO;GAROA/CHUVISCO;DUPLA;"CURVA;INTERSEÇÃO DE VIAS";SIM;0
MG;BR-381;RIO MANSO;1;1;QUARTA-FEIRA;2;0;20;18H-20H;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CHUVA;DUPLA;CURVA;NÃO;0
PB;BR-405;MARIZOPOLIS;1;1;QUARTA-FEIRA;2;0;21;21H-23H;NOITE;PLENA NOITE;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;CURVA;SIM;0
MG;BR-116;MURIAE;1;1;QUINTA-FEIRA;3;0;5;03H-05H;MADRUGADA;PLENO DIA;VELOCIDADE INCOMPATÍVEL;TOMBAMENTO;CÉU CLARO;SIMPLES;CURVA;NÃO;0
SC;BR-153;CONCORDIA;1;1;QUARTA-FEIRA;2;0;19;18H-20H;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;NUBLADO;SIMPLES;"RETA;DECLIVE";NÃO;0
PR;BR-116;FAZENDA RIO GRANDE;1;1;QUINTA-FEIRA;3;0;7;06H-08H;MANHÃ;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;SOL;DUPLA;RETA;SIM;0
PB;BR-230;MOGEIRO;1;1;QUINTA-FEIRA;3;0;7;06H-08H;MANHÃ;PLENO DIA;CONDUTOR DORMINDO;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;DUPLA;RETA;NÃO;0
MT;BR-163;GUARANTA DO NORTE;1;1;QUINTA-FEIRA;3;0;6;06H-08H;MANHÃ;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;TOMBAMENTO;GAROA/CHUVISCO;DUPLA;"CURVA;ACLIVE";NÃO;0
PR;BR-163;CAPITAO LEONIDAS MARQUES;1;1;QUINTA-FEIRA;3;0;6;06H-08H;MANHÃ;PLENO DIA;VELOCIDADE INCOMPATÍVEL;COLISÃO COM OBJETO;CÉU CLARO;DUPLA;"DECLIVE;RETA";SIM;1
MG;BR-040;CONSELHEIRO LAFAIETE;1;1;QUINTA-FEIRA;3;0;8;06H-08H;MANHÃ;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;SIMPLES;RETA;SIM;0
MT;BR-163;SINOP;1;1;QUINTA-FEIRA;3;0;8;06H-08H;MANHÃ;PLENO DIA;CHUVA;COLISÃO COM OBJETO;CHUVA;SIMPLES;RETORNO REGULAMENTADO;SIM;0
PE;BR-232;JABOATAO DOS GUARARAPES;1;1;QUINTA-FEIRA;3;0;11;09H-11H;MANHÃ;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;NÃO;0
PR;BR-116;SAO JOSE DOS PINHAIS;1;1;QUINTA-FEIRA;3;0;13;12H-14H;TARDE;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;MÚLTIPLA;"RETA;ACLIVE";NÃO;0
ES;BR-262;MARECHAL FLORIANO;1;1;QUINTA-FEIRA;3;0;13;12H-14H;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO COM OBJETO;CÉU CLARO;SIMPLES;"PONTE;DECLIVE;CURVA";NÃO;0
PE;BR-101;IGARASSU;1;1;QUINTA-FEIRA;3;0;13;12H-14H;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;SOL;MÚLTIPLA;RETA;SIM;0
RJ;BR-101;RIO DE JANEIRO;1;1;QUINTA-FEIRA;3;0;14;12H-14H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;"CURVA;PONTE";NÃO;0
CE;BR-222;TIANGUA;1;1;QUINTA-FEIRA;3;0;11;09H-11H;MANHÃ;PLENO DIA;TRANSITAR NA CONTRAMÃO;COLISÃO LATERAL SENTIDO OPOSTO;SOL;SIMPLES;RETA;NÃO;0
MA;BR-135;MIRANDA DO NORTE;1;1;QUINTA-FEIRA;3;0;6;06H-08H;MANHÃ;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;RETA;NÃO;0
RS;BR-287;MATA;1;1;QUINTA-FEIRA;3;0;14;12H-14H;TARDE;PLENO DIA;CONDUTOR DORMINDO;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;RETA;NÃO;0
RJ;BR-116;PINHEIRAL;1;1;QUINTA-FEIRA;3;0;14;12H-14H;TARDE;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;NUBLADO;DUPLA;RETA;NÃO;0
RS;BR-290;SAO SEPE;1;1;QUINTA-FEIRA;3;0;19;18H-20H;NOITE;ANOITECER;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;CURVA;NÃO;0
TO;BR-230;SAO BENTO DO TOCANTINS;1;1;QUINTA-FEIRA;3;0;19;18H-20H;NOITE;PLENA NOITE;ULTRAPASSAGEM INDEVIDA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;SIMPLES;ACLIVE;NÃO;0
RJ;BR-393;TRES RIOS;1;1;QUINTA-FEIRA;3;0;18;18H-20H;NOITE;ANOITECER;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;CURVA;SIM;0
PR;BR-376;TIBAGI;1;1;QUINTA-FEIRA;3;0;15;15H-17H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO COM OBJETO;CHUVA;DUPLA;"CURVA;DECLIVE";NÃO;0
PI;BR-135;JERUMENHA;1;1;QUINTA-FEIRA;3;0;15;15H-17H;TARDE;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;CÉU CLARO;SIMPLES;RETA;NÃO;0
GO;BR-364;MINEIROS;1;1;QUINTA-FEIRA;3;0;20;18H-20H;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;NUBLADO;SIMPLES;RETA;SIM;1
PR;BR-369;JURANDA;1;1;QUINTA-FEIRA;3;0;17;15H-17H;TARDE;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;1
MG;BR-116;SANTA BARBARA DO LESTE;1;1;QUINTA-FEIRA;3;0;21;21H-23H;NOITE;PLENA NOITE;PEDESTRE ANDAVA NA PISTA;QUEDA DE OCUPANTE DE VEÍCULO;CÉU CLARO;SIMPLES;RETA;NÃO;0
GO;BR-020;FORMOSA;1;1;SEXTA-FEIRA;4;0;0;00H-02H;MADRUGADA;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO LATERAL SENTIDO OPOSTO;CHUVA;SIMPLES;"EM OBRAS;DECLIVE;CURVA";SIM;0
SC;BR-282;FAXINAL DOS GUEDES;1;1;SEXTA-FEIRA;4;0;0;00H-02H;MADRUGADA;PLENA NOITE;ULTRAPASSAGEM INDEVIDA;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;0
MG;BR-381;BETIM;1;1;SEXTA-FEIRA;4;0;3;03H-05H;MADRUGADA;PLENA NOITE;ACUMULO DE ÁGUA SOBRE O PAVIMENTO;SAÍDA DE LEITO CARROÇÁVEL;CHUVA;MÚLTIPLA;"CURVA;DECLIVE";NÃO;0
PE;BR-101;IGARASSU;1;1;SEXTA-FEIRA;4;0;4;03H-05H;MADRUGADA;AMANHECER;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO TRASEIRA;VENTO;DUPLA;RETA;NÃO;0
ES;BR-101;CARIACICA;1;1;SEXTA-FEIRA;4;0;5;03H-05H;MADRUGADA;AMANHECER;AUSÊNCIA DE REAÇÃO DO CONDUTOR;ENGAVETAMENTO;NUBLADO;DUPLA;"ACLIVE;RETA";SIM;0
BA;BR-116;ENCRUZILHADA;1;1;SEXTA-FEIRA;4;0;6;06H-08H;MANHÃ;AMANHECER;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;"DECLIVE;RETA";NÃO;1
PB;BR-101;BAYEUX;1;1;SEXTA-FEIRA;4;0;7;06H-08H;MANHÃ;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;DECLIVE;SIM;0
MG;BR-251;FRUTA DE LEITE;1;1;SEXTA-FEIRA;4;0;7;06H-08H;MANHÃ;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;TOMBAMENTO;NUBLADO;SIMPLES;RETA;NÃO;0
PE;BR-232;SERTANIA;1;1;SEXTA-FEIRA;4;0;6;06H-08H;MANHÃ;PLENO DIA;CARGA EXCESSIVA E/OU MAL ACONDICIONADA;DERRAMAMENTO DE CARGA;CÉU CLARO;SIMPLES;RETA;NÃO;0
SP;BR-116;CAJATI;1;1;SEXTA-FEIRA;4;0;10;09H-11H;MANHÃ;PLENO DIA;CURVA ACENTUADA;TOMBAMENTO;CÉU CLARO;SIMPLES;"CURVA;DECLIVE";NÃO;0
RO;BR-364;VILHENA;1;1;SEXTA-FEIRA;4;0;9;09H-11H;MANHÃ;PLENO DIA;ÁREA URBANA SEM A PRESENÇA DE LOCAL APROPRIADO PARA A TRAVESSIA DE PEDESTRES;COLISÃO LATERAL SENTIDO OPOSTO;NUBLADO;SIMPLES;RETA;SIM;0
PE;BR-232;RECIFE;1;1;SEXTA-FEIRA;4;0;11;09H-11H;MANHÃ;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;NUBLADO;DUPLA;RETA;SIM;0
SC;BR-101;BALNEARIO CAMBORIU;1;1;SEXTA-FEIRA;4;0;11;09H-11H;MANHÃ;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;SOL;MÚLTIPLA;RETA;SIM;0
SP;BR-381;MAIRIPORA;1;1;SEXTA-FEIRA;4;0;12;12H-14H;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;NUBLADO;DUPLA;"RETA;DECLIVE";NÃO;0
GO;BR-153;PORANGATU;1;1;SEXTA-FEIRA;4;0;10;09H-11H;MANHÃ;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;NUBLADO;SIMPLES;RETA;NÃO;0
RS;BR-290;ROSARIO DO SUL;1;1;SEXTA-FEIRA;4;0;11;09H-11H;MANHÃ;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;SIMPLES;RETA;SIM;0
BA;BR-101;ESPLANADA;1;1;SEXTA-FEIRA;4;0;12;12H-14H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO COM OBJETO;CÉU CLARO;SIMPLES;"EM OBRAS;DESVIO TEMPORÁRIO;RETA";NÃO;0
PR;BR-277;LARANJEIRAS DO SUL;1;1;SEXTA-FEIRA;4;0;13;12H-14H;TARDE;PLENO DIA;DESRESPEITAR A PREFERÊNCIA NO CRUZAMENTO;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;"ACLIVE;INTERSEÇÃO DE VIAS;RETA";NÃO;0
SC;BR-101;JOINVILLE;1;1;SEXTA-FEIRA;4;0;10;09H-11H;MANHÃ;PLENO DIA;ESTACIONAR OU PARAR EM LOCAL PROIBIDO;COLISÃO TRASEIRA;SOL;MÚLTIPLA;"ACLIVE;RETA";SIM;1
MS;BR-158;APARECIDA DO TABOADO;1;1;SEXTA-FEIRA;4;0;11;09H-11H;MANHÃ;PLENO DIA;ULTRAPASSAGEM INDEVIDA;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;CURVA;NÃO;1
SC;BR-101;BARRA VELHA;1;1;SEXTA-FEIRA;4;0;14;12H-14H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;RETA;NÃO;0
MG;BR-040;ITABIRITO;1;1;SEXTA-FEIRA;4;0;14;12H-14H;TARDE;PLENO DIA;VELOCIDADE INCOMPATÍVEL;COLISÃO COM OBJETO;CHUVA;DUPLA;CURVA;NÃO;0
RJ;BR-101;ANGRA DOS REIS;1;1;SEXTA-FEIRA;4;0;12;12H-14H;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;TOMBAMENTO;CÉU CLARO;SIMPLES;CURVA;NÃO;0
ES;BR-101;VIANA;1;1;SEXTA-FEIRA;4;0;17;15H-17H;TARDE;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;COLISÃO TRASEIRA;NUBLADO;DUPLA;"ACLIVE;RETORNO REGULAMENTADO";SIM;0
BA;BR-116;BREJOES;1;1;SEXTA-FEIRA;4;0;7;06H-08H;MANHÃ;PLENO DIA;DEMAIS FALHAS NA VIA;TOMBAMENTO;CÉU CLARO;SIMPLES;"CURVA;ACLIVE";NÃO;0
RJ;BR-116;DUQUE DE CAXIAS;1;1;SEXTA-FEIRA;4;0;16;15H-17H;TARDE;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;QUEDA DE OCUPANTE DE VEÍCULO;CÉU CLARO;DUPLA;RETA;SIM;1
ES;BR-101;CARIACICA;1;1;SEXTA-FEIRA;4;0;17;15H-17H;TARDE;PLENA NOITE;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO TRASEIRA;IGNORADO;DUPLA;RETA;NÃO;0
MG;BR-381;GOVERNADOR VALADARES;1;1;SEXTA-FEIRA;4;0;14;12H-14H;TARDE;PLENO DIA;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;NUBLADO;SIMPLES;RETA;NÃO;0
MT;BR-364;JUSCIMEIRA;1;1;SEXTA-FEIRA;4;0;16;15H-17H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;SIM;0
SP;BR-116;REGISTRO;1;1;SEXTA-FEIRA;4;0;17;15H-17H;TARDE;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;SAÍDA DE LEITO CARROÇÁVEL;NUBLADO;DUPLA;RETA;SIM;0
RO;BR-429;ALVORADA DOESTE;1;1;SEXTA-FEIRA;4;0;10;09H-11H;MANHÃ;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;TOMBAMENTO;CÉU CLARO;SIMPLES;"CURVA;DECLIVE";NÃO;0
BA;BR-110;SAO SEBASTIAO DO PASSE;1;1;SEXTA-FEIRA;4;0;20;18H-20H;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;"ACLIVE;RETA";NÃO;0
RJ;BR-101;ANGRA DOS REIS;1;1;SEXTA-FEIRA;4;0;19;18H-20H;NOITE;PLENA NOITE;ULTRAPASSAGEM INDEVIDA;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;0
RJ;BR-116;SAPUCAIA;1;1;SEXTA-FEIRA;4;0;17;15H-17H;TARDE;ANOITECER;VELOCIDADE INCOMPATÍVEL;TOMBAMENTO;NUBLADO;SIMPLES;RETA;NÃO;0
RJ;BR-040;DUQUE DE CAXIAS;1;1;SEXTA-FEIRA;4;0;21;21H-23H;NOITE;PLENA NOITE;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;IGNORADO;MÚLTIPLA;RETA;SIM;0
MG;BR-153;FRUTAL;1;1;SEXTA-FEIRA;4;0;17;15H-17H;TARDE;PLENO DIA;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;CHUVA;SIMPLES;RETA;NÃO;1
MG;BR-381;OLIVEIRA;1;1;SEXTA-FEIRA;4;0;23;21H-23H;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;NUBLADO;DUPLA;CURVA;NÃO;0
RJ;BR-356;ITAPERUNA;1;1;SÁBADO;5;1;0;00H-02H;MADRUGADA;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;GAROA/CHUVISCO;SIMPLES;RETA;NÃO;0
MG;BR-116;ALEM PARAIBA;1;1;SEXTA-FEIRA;4;0;23;21H-23H;NOITE;PLENA NOITE;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO LATERAL SENTIDO OPOSTO;CHUVA;SIMPLES;RETA;NÃO;0
RJ;BR-116;RESENDE;1;1;SÁBADO;5;1;2;00H-02H;MADRUGADA;PLENA NOITE;CONDUTOR DORMINDO;SAÍDA DE LEITO CARROÇÁVEL;NUBLADO;DUPLA;RETA;NÃO;0
SC;BR-101;PORTO BELO;1;1;SÁBADO;5;1;2;00H-02H;MADRUGADA;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;QUEDA DE OCUPANTE DE VEÍCULO;NUBLADO;DUPLA;RETA;SIM;0
RS;BR-158;SAO GABRIEL;1;1;SEXTA-FEIRA;4;0;22;21H-23H;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;RETA;NÃO;1
MG;BR-262;LUZ;1;1;SÁBADO;5;1;2;00H-02H;MADRUGADA;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO LATERAL SENTIDO OPOSTO;CHUVA;SIMPLES;"CURVA;ACLIVE";NÃO;1
PR;BR-277;SAO JOSE DOS PINHAIS;1;1;SÁBADO;5;1;3;03H-05H;MADRUGADA;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;NÃO;0
RS;BR-285;CAPAO BONITO DO SUL;1;1;SÁBADO;5;1;3;03H-05H;MADRUGADA;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;CURVA;NÃO;0
BA;BR-116;CANDIDO SALES;1;1;SÁBADO;5;1;5;03H-05H;MADRUGADA;AMANHECER;CONDUTOR DORMINDO;COLISÃO FRONTAL;NUBLADO;SIMPLES;RETA;SIM;0
PR;BR-369;UBIRATA;1;1;SÁBADO;5;1;8;06H-08H;MANHÃ;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRASEIRA;SOL;SIMPLES;RETA;NÃO;0
MG;BR-365;PATOS DE MINAS;1;1;SÁBADO;5;1;7;06H-08H;MANHÃ;PLENO DIA;PISTA ESCORREGADIA;SAÍDA DE LEITO CARROÇÁVEL;CHUVA;SIMPLES;CURVA;NÃO;0
PR;BR-153;SANTO ANTONIO DA PLATINA;1;1;SÁBADO;5;1;11;09H-11H;MANHÃ;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;RETA;NÃO;0
MG;BR-251;FRANCISCO SA;1;1;SÁBADO;5;1;9;09H-11H;MANHÃ;PLENO DIA;CHUVA;COLISÃO LATERAL SENTIDO OPOSTO;CHUVA;SIMPLES;"CURVA;DECLIVE";NÃO;0
MT;BR-364;JACIARA;1;1;SÁBADO;5;1;9;09H-11H;MANHÃ;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;ENGAVETAMENTO;NUBLADO;DUPLA;"DECLIVE;RETA";NÃO;0
SP;BR-116;BARRA DO TURVO;1;1;SÁBADO;5;1;11;09H-11H;MANHÃ;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;CURVA;NÃO;0
BA;BR-116;ITATIM;1;1;SÁBADO;5;1;7;06H-08H;MANHÃ;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL SENTIDO OPOSTO;SOL;SIMPLES;RETA;NÃO;0
TO;BR-010;PALMAS;1;1;SÁBADO;5;1;12;12H-14H;TARDE;PLENO DIA;ACUMULO DE ÁGUA SOBRE O PAVIMENTO;QUEDA DE OCUPANTE DE VEÍCULO;CHUVA;DUPLA;RETA;NÃO;1
BA;BR-116;PLANALTO;1;1;SÁBADO;5;1;12;12H-14H;TARDE;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;RETA;NÃO;0
SP;BR-153;NOVA GRANADA;1;1;SÁBADO;5;1;14;12H-14H;TARDE;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;NUBLADO;SIMPLES;"RETA;ACLIVE";NÃO;0
RS;BR-386;NOVA SANTA RITA;1;1;SÁBADO;5;1;15;15H-17H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRANSVERSAL;CÉU CLARO;DUPLA;"INTERSEÇÃO DE VIAS;ROTATÓRIA";SIM;0
RJ;BR-116;MAGE;1;1;SÁBADO;5;1;14;12H-14H;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;SOL;DUPLA;RETA;NÃO;0
MG;BR-116;ITAMBACURI;1;1;SÁBADO;5;1;16;15H-17H;TARDE;PLENO DIA;TRANSITAR NO ACOSTAMENTO;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;SIMPLES;RETA;NÃO;0
PB;BR-230;CAMPINA GRANDE;1;1;SÁBADO;5;1;14;12H-14H;TARDE;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;ENGAVETAMENTO;SOL;SIMPLES;RETA;NÃO;0
PB;BR-104;LAGOA SECA;1;1;SÁBADO;5;1;16;15H-17H;TARDE;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;"RETA;ACLIVE";NÃO;0
BA;BR-116;LAMARAO;1;1;SÁBADO;5;1;18;18H-20H;NOITE;PLENA NOITE;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;"ACLIVE;RETA";NÃO;1
MG;BR-262;PARA DE MINAS;1;1;SÁBADO;5;1;19;18H-20H;NOITE;PLENA NOITE;PEDESTRE - INGESTÃO DE ÁLCOOL/ SUBSTÂNCIAS PSICOATIVAS;ATROPELAMENTO DE PEDESTRE;NUBLADO;DUPLA;RETA;SIM;1
MG;BR-116;ORIZANIA;1;1;SÁBADO;5;1;16;15H-17H;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;RETA;NÃO;0
PE;BR-428;CABROBO;1;1;SÁBADO;5;1;18;18H-20H;NOITE;PLENA NOITE;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;NUBLADO;SIMPLES;RETA;NÃO;1
PR;BR-277;CANTAGALO;1;1;SÁBADO;5;1;21;21H-23H;NOITE;PLENA NOITE;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;0
SP;BR-116;LORENA;1;1;SÁBADO;5;1;22;21H-23H;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;CAPOTAMENTO;NUBLADO;DUPLA;RETA;SIM;0
