uf;br_formatada;municipio;mes;trimestre;dia_semana;dia_semana_num;fim_de_semana;hora;faixa_horaria;turno;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
MG;BR-040;SANTOS DUMONT;3;1;SEXTA-FEIRA;4;0;14;12H-14H;TARDE;PLENO DIA;ACUMULO DE ÁGUA SOBRE O PAVIMENTO;SAÍDA DE LEITO CARROÇÁVEL;CHUVA;SIMPLES;"DECLIVE;CURVA";NÃO;0
CE;BR-222;UMIRIM;3;1;SEXTA-FEIRA;4;0;14;12H-14H;TARDE;PLENO DIA;CONVERSÃO PROIBIDA;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;"RETA;DECLIVE";NÃO;0
ES;BR-259;COLATINA;3;1;SEXTA-FEIRA;4;0;22;21H-23H;NOITE;PLENA NOITE;VELOCIDADE INCOMPATÍVEL;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;RETA;NÃO;0
SC;BR-101;ITAJAI;3;1;SEXTA-FEIRA;4;0;15;15H-17H;TARDE;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;ENGAVETAMENTO;CÉU CLARO;DUPLA;RETA;SIM;0
MG;BR-381;POUSO ALEGRE;3;1;SEXTA-FEIRA;4;0;15;15H-17H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;DUPLA;"RETA;DECLIVE";NÃO;0
BA;BR-116;VITORIA DA CONQUISTA;3;1;SEXTA-FEIRA;4;0;14;12H-14H;TARDE;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;SIMPLES;RETA;SIM;0
ES;BR-101;SERRA;3;1;SEXTA-FEIRA;4;0;15;15H-17H;TARDE;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;TOMBAMENTO;CÉU CLARO;SIMPLES;INTERSEÇÃO DE VIAS;SIM;0
MG;BR-381;CAMANDUCAIA;3;1;SEXTA-FEIRA;4;0;14;12H-14H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO LATERAL MESMO SENTIDO;CHUVA;DUPLA;CURVA;NÃO;0
PB;BR-230;CABEDELO;3;1;SEXTA-FEIRA;4;0;15;15H-17H;TARDE;PLENO DIA;PEDESTRE ANDAVA NA PISTA;ATROPELAMENTO DE PEDESTRE;CÉU CLARO;DUPLA;RETA;SIM;0
SP;BR-381;ATIBAIA;3;1;SEXTA-FEIRA;4;0;15;15H-17H;TARDE;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;"ACLIVE;RETA";SIM;0
PE;BR-428;PETROLINA;3;1;SEXTA-FEIRA;4;0;16;15H-17H;TARDE;PLENO DIA;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;SIM;0
SP;BR-381;ATIBAIA;3;1;SEXTA-FEIRA;4;0;15;15H-17H;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;SIM;0
PI;BR-343;PARNAIBA;3;1;SEXTA-FEIRA;4;0;10;09H-11H;MANHÃ;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;NUBLADO;SIMPLES;RETA;SIM;0
PR;BR-376;MAUA DA SERRA;3;1;SEXTA-FEIRA;4;0;15;15H-17H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;DUPLA;RETA;NÃO;0
SC;BR-282;PALHOCA;3;1;SEXTA-FEIRA;4;0;16;15H-17H;TARDE;PLENO DIA;CONVERSÃO PROIBIDA;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;"RETA;RETORNO REGULAMENTADO";SIM;0
